"","name","F1_rxnormId","F2_rxcui","F2_name","F2_synonym","F2_tty","F3_status","F3_rxcui","F3_ndc","F3_startDate","F3_endDate"
"1","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"00002143301",201411,202603
"2","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"00002143361",201411,202603
"3","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"00002143380",201411,202603
"4","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"50090348400",201807,202603
"5","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"50090645300",202306,202603
"6","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"54568043363",201711,201801
"7","dulaglutide",1551291,1551300,"0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 1.5 MG/ML Auto-Injector","SBD","direct",1551300,"54568043371",201711,201801
"8","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"00002143401",201411,202603
"9","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"00002143461",201411,202603
"10","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"00002143480",201411,202603
"11","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"50090348300",201807,202603
"12","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"50090645600",202306,202603
"13","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"54568043463",201711,201801
"14","dulaglutide",1551291,1551306,"0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 3 MG/ML Auto-Injector","SBD","direct",1551306,"54568043471",201711,201801
"15","dulaglutide",1551291,2395779,"0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 6 MG/ML Auto-Injector","SBD","direct",2395779,"00002223601",202010,202603
"16","dulaglutide",1551291,2395779,"0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 6 MG/ML Auto-Injector","SBD","direct",2395779,"00002223661",202103,202603
"17","dulaglutide",1551291,2395779,"0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 6 MG/ML Auto-Injector","SBD","direct",2395779,"00002223680",202010,202603
"18","dulaglutide",1551291,2395779,"0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 6 MG/ML Auto-Injector","SBD","direct",2395779,"50090546700",202104,202603
"19","dulaglutide",1551291,2395779,"0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 6 MG/ML Auto-Injector","SBD","direct",2395779,"50090657100",202309,202603
"20","dulaglutide",1551291,2395785,"0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 9 MG/ML Auto-Injector","SBD","direct",2395785,"00002318201",202010,202603
"21","dulaglutide",1551291,2395785,"0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 9 MG/ML Auto-Injector","SBD","direct",2395785,"00002318261",202103,202603
"22","dulaglutide",1551291,2395785,"0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 9 MG/ML Auto-Injector","SBD","direct",2395785,"00002318280",202010,202603
"23","dulaglutide",1551291,2395785,"0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity]","0.5 ML Trulicity 9 MG/ML Auto-Injector","SBD","direct",2395785,"50090758900",202508,202603
"24","exenatide",60548,1990869,"0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon]","0.85 ML Bydureon 2.35 MG/ML Auto-Injector","SBD","direct",1990869,"00310654001",201801,202603
"25","exenatide",60548,1990869,"0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon]","0.85 ML Bydureon 2.35 MG/ML Auto-Injector","SBD","direct",1990869,"00310654004",201801,202603
"26","exenatide",60548,1990869,"0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon]","0.85 ML Bydureon 2.35 MG/ML Auto-Injector","SBD","direct",1990869,"00310654085",201801,202603
"27","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"00002021008",200905,201011
"28","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"00310652401",201501,202603
"29","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"54868538401",200905,201907
"30","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66029021008",200905,201206
"31","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66780021008",200905,201212
"32","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66780021201",200912,201712
"33","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"66914103505",200905,201206
"34","exenatide",60548,847913,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 2.4 ML","SBD","direct",847913,"68258894802",201206,201409
"35","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00002021007",200905,201011
"36","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00002021009",200905,201011
"37","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00310651201",201501,202603
"38","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"00310651285",201805,202004
"39","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"54868538400",200905,201907
"40","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"54868538402",201004,201212
"41","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66029021007",200905,201206
"42","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66780021007",200905,201712
"43","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66780021009",200905,201605
"44","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"66914103504",200905,201206
"45","exenatide",60548,847917,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]","Byetta 250 MCG/ML Pen Injector, 1.2 ML","SBD","direct",847917,"68258894701",201206,201409
"46","exenatide",60548,847910,"60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector","exenatide 250 MCG/ML Pen Injector, 2.4 ML","SCD","direct",847910,"70121168601",202501,202603
"47","exenatide",60548,847915,"60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector","exenatide 250 MCG/ML Pen Injector, 1.2 ML","SCD","direct",847915,"70121168501",202501,202603
