name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143301,201411,202603
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143361,201411,202603
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143380,201411,202603
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,50090348400,201807,202603
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,50090645300,202306,202603
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,54568043363,201711,201801
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,54568043371,201711,201801
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143401,201411,202603
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143461,201411,202603
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143480,201411,202603
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,50090348300,201807,202603
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,50090645600,202306,202603
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,54568043463,201711,201801
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,54568043471,201711,201801
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223601,202010,202603
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223661,202103,202603
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223680,202010,202603
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,50090546700,202104,202603
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,50090657100,202309,202603
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318201,202010,202603
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318261,202103,202603
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318280,202010,202603
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,50090758900,202508,202603
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654001,201801,202603
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654004,201801,202603
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654085,201801,202603
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,2021008,200905,201011
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,310652401,201501,202603
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,54868538401,200905,201907
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66029021008,200905,201206
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66780021008,200905,201212
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66780021201,200912,201712
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66914103505,200905,201206
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,68258894802,201206,201409
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,2021007,200905,201011
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,2021009,200905,201011
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,310651201,201501,202603
exenatide,60548,847917,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 1.2 ML",SBD,direct,847917,310651285,201805,202004
